SCALERANK,NAME,SOV0NAME,SOV_A3,ADM0NAME,ADM0_A3,ADM1NAME,ISO_A2,LATITUDE,LONGITUDE,POP_MAX,POP_MIN
1,Houston,United States,USA,United States of America,USA,Texas,US,29.81997438,-95.33997929,4459000,3647574
6,Tyler,United States,USA,United States of America,USA,Texas,US,32.35108604,-95.30078272,112245,90878
7,Santiago Tuxtla,Mexico,MEX,Mexico,MEX,Veracruz,MX,18.47038291,-95.29998173,15681,11515
7,Oxford House,Canada,CAN,Canada,CAN,Manitoba,CA,54.95040428,-95.26659876,184,184
8,Lawrence,United States,USA,United States of America,USA,Kansas,US,38.95975242,-95.25522994,92726,83314
6,Tehuantepec,Mexico,MEX,Mexico,MEX,Oaxaca,MX,16.32999676,-95.229986,42776,37389
7,Salina Cruz,Mexico,MEX,Mexico,MEX,Oaxaca,MX,16.16706097,-95.19998784,81063,73648
8,Pasadena,United States,USA,United States of America,USA,Texas,US,29.66086265,-95.14774296,628492,149043
8,Spencer,United States,USA,United States of America,USA,Iowa,US,43.14528505,-95.14717452,11203,10674
8,Willmar,United States,USA,United States of America,USA,Minnesota,US,45.12188275,-95.04330489,18473,18391
8,Juchitan,Mexico,MEX,Mexico,MEX,Oaxaca,MX,16.42999066,-95.01999882,67637,56872
8,Baytown,United States,USA,United States of America,USA,Texas,US,29.75584393,-94.96772811,86034,67341
8,Texas City,United States,USA,United States of America,USA,Texas,US,29.41087791,-94.96276717,69914,41521
6,Bemidji,United States,USA,United States of America,USA,Minnesota,US,47.47357383,-94.88018823,14796,13331
7,St. Joseph,United States,USA,United States of America,USA,Missouri,US,39.76903119,-94.84639185,78012,71745
6,Galveston,United States,USA,United States of America,USA,Texas,US,29.301143,-94.7974801,68612,56420
8,Island Lake,Canada,CAN,Canada,CAN,Manitoba,CA,53.96658836,-94.7665776,10,10
8,Longview,United States,USA,United States of America,USA,Texas,US,32.50053428,-94.74027429,75920,75396
8,Jaltipan,Mexico,MEX,Mexico,MEX,Veracruz,MX,17.93997601,-94.73999007,66998,66998
7,Lufkin,United States,USA,United States of America,USA,Texas,US,31.33843467,-94.72887964,43264,33667
6,Gillam,Canada,CAN,Canada,CAN,Manitoba,CA,56.34998293,-94.69996668,1281,1281
7,Nacogdoches,United States,USA,United States of America,USA,Texas,US,31.60374147,-94.65526656,30691,30691
8,Kansas City,United States,USA,United States of America,USA,Kansas,US,39.11358052,-94.63014638,501577,146866
4,Kansas City,United States,USA,United States of America,USA,Missouri,US,39.10708851,-94.60409422,1469000,441545
7,Minatitlán,Mexico,MEX,Mexico,MEX,Veracruz,MX,17.9804645,-94.53000289,201902,150895
7,Joplin,United States,USA,United States of America,USA,Missouri,US,37.08459556,-94.51307886,73763,46818
6,Kenora,Canada,CAN,Canada,CAN,Ontario,CA,49.76668968,-94.46664758,10852,10852
7,Coatzacoalcos,Mexico,MEX,Mexico,MEX,Veracruz,MX,18.12040428,-94.4200096,287285,230717
8,Independence,United States,USA,United States of America,USA,Missouri,US,39.09111391,-94.41528121,148102,113288
7,Fort Smith,United States,USA,United States of America,USA,Arkansas,US,35.38622377,-94.39835718,93988,81985
